character,Ant-Man,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Spider-Man: Homecoming,The Avengers,Thor,Thor: Ragnarok,Thor: The Dark World,total lines,total words,movie appearances,avg words per line,avg lines per movie
TONY STARK,0,173,137,119,0,165,0,0,0,0,252,335,358,74,152,0,0,0,1788,22590,9,12,198
STEVE ROGERS,3,133,119,25,0,154,186,218,3,0,0,0,0,7,121,0,0,0,977,8653,10,8,97
THOR,0,55,70,74,0,0,0,0,0,0,0,0,0,0,47,166,289,133,863,9487,7,10,123
PETER PARKER,0,0,7,39,0,73,0,0,0,0,0,0,0,402,0,0,0,0,551,5517,4,10,137
NATASHA ROMANOFF,1,79,69,15,0,64,0,112,3,0,0,55,0,0,97,0,1,0,498,4689,10,9,49
PEPPER POTTS,0,0,15,21,0,0,0,0,0,0,114,157,88,7,29,0,0,0,442,3492,7,7,63
BRUCE BANNER,0,83,93,45,0,0,0,0,2,0,0,0,7,0,84,0,62,0,379,3840,7,10,54
NICK FURY,0,26,0,7,0,0,5,68,120,0,0,28,0,0,109,0,0,0,366,4524,7,12,52
LOKI,0,0,1,6,0,0,0,0,0,0,0,0,0,0,68,91,74,76,327,4097,6,12,54
SCOTT LANG,222,0,70,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,324,3236,3,9,108
JAMES RHODES,0,20,38,17,0,25,0,0,2,0,67,80,63,0,0,0,0,0,318,3486,8,10,39
PETER QUILL,0,0,8,79,0,0,0,0,0,183,0,0,0,0,0,0,0,0,276,2916,3,10,92
CAROL DANVERS,0,0,18,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,234,1954,2,8,117
JANE FOSTER,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,119,0,106,233,2114,3,9,77
ROCKET,0,0,51,46,0,0,0,0,0,120,0,0,0,0,0,0,0,0,217,2420,3,11,72
CLINT BARTON,0,69,44,0,0,27,0,0,0,0,0,0,0,0,43,1,0,0,185,1911,5,10,37
SAM WILSON,14,4,16,9,0,63,0,67,0,0,0,0,0,0,0,0,0,0,174,1522,6,8,29
GAMORA,0,0,22,44,0,0,0,0,0,105,0,0,0,0,0,0,0,0,173,1552,3,8,57
T'CHALLA,0,0,1,17,125,28,0,0,0,0,0,0,0,0,0,0,0,0,172,1896,4,11,43
HAPPY HOGAN,0,0,4,0,0,0,0,0,0,0,2,40,53,59,0,0,0,0,162,1248,5,7,32
HANK PYM,140,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2081,2,14,73
ODIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,62,136,2200,3,16,45
JARVIS,0,24,0,0,0,0,0,0,0,0,34,20,44,0,13,0,0,0,135,1405,5,10,27
NED LEEDS,0,0,0,1,0,0,0,0,0,0,0,0,0,130,0,0,0,0,135,1171,2,8,67
ERIK SELVIG,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,69,0,29,123,1389,4,11,30
PHIL COULSON,0,0,0,0,0,0,0,0,13,0,18,12,0,0,42,26,0,0,111,1311,5,11,22
BUCKY BARNES,0,0,2,8,0,42,42,13,0,0,0,0,0,0,0,0,0,0,110,826,5,7,22
THANOS,0,1,36,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1343,3,12,36
DRAX,0,0,1,28,0,0,0,0,0,79,0,0,0,0,0,0,0,0,109,921,3,8,36
WANDA MAXIMOFF,0,36,4,30,0,35,0,0,0,0,0,0,0,0,0,0,0,0,105,660,4,6,26
DARCY LEWIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,53,99,795,2,8,49
ADRIAN TOOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,95,1148,1,12,95
PEGGY CARTER,3,3,4,0,0,0,76,7,0,0,0,0,0,0,1,0,0,0,94,930,6,9,15
SHURI,0,0,0,6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,93,896,2,9,46
HOPE VAN DYNE,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1041,2,11,46
VALKYRIE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,90,803,2,8,45
LUIS,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1213,1,14,86
JUSTIN HAMMER,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,82,2281,1,27,82
ULTRON,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1205,1,14,81
MARIA HILL,0,24,0,6,0,0,0,23,0,0,0,0,0,0,27,0,0,0,80,659,4,8,20
NEBULA,0,0,31,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,77,903,3,11,25
STEPHEN STRANGE,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,18,0,77,677,3,8,25
VISION,0,19,0,26,0,31,0,0,0,0,0,0,0,0,0,0,0,0,76,971,3,12,25
VOLSTAGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,8,71,663,3,9,23
NAKIA,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,602,1,8,71
LIZ TOOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,71,546,1,7,71
YON-ROGG,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,69,892,1,12,69
YONDU,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,69,788,1,11,69
FRIGGA,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,67,722,3,10,22
OKOYE,0,0,3,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,67,542,3,8,22
KAREN,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,67,523,1,7,67
MANTIS,0,0,1,17,0,0,0,0,0,46,0,0,0,0,0,0,0,0,64,553,3,8,21
EVERETT ROSS,0,0,0,0,57,6,0,0,0,0,0,0,0,0,0,0,0,0,63,809,2,12,31
MAYA HANSEN,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,63,484,1,7,63
HOWARD STARK,5,0,23,0,0,6,23,0,0,0,0,4,0,0,0,0,0,0,61,1121,5,18,12
SIF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,14,61,468,2,7,30
ALEXANDER PIERCE,0,0,5,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,60,1198,2,19,30
COL. CHESTER PHILLIPS,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,959,1,15,60
TALOS,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,59,894,1,15,59
ALDRICH KILLIAN,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,1302,1,22,58
EGO,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57,1545,1,27,57
FANDRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,8,57,677,2,11,28
RED SKULL,0,0,5,9,0,0,41,0,0,0,0,0,0,0,0,0,0,0,55,976,3,17,18
DARREN CROSS,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1120,1,21,53
N'JADAKA (KILLMONGER),0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,53,897,1,16,53
HEIMDALL,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,17,13,17,53,814,5,15,10
HARLEY KEENER,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,53,423,1,7,53
OBADIAH STANE,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,52,1284,1,24,52
"JAMES ""JIM"" PAXTON",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,351,1,7,46
BROCK RUMLOW,0,0,3,0,0,8,0,34,0,0,0,0,0,0,0,0,0,0,45,454,3,10,15
MAY PARKER,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0,0,0,0,45,396,2,8,22
MARIA RAMBEAU,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,44,593,1,13,44
HULK,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,39,0,44,141,3,3,14
DR. ARNIM ZOLA,0,0,0,0,0,0,30,13,0,0,0,0,0,0,0,0,0,0,43,570,2,13,21
YINSEN,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,41,953,1,23,41
FRIDAY,0,13,6,5,0,16,0,0,0,0,0,0,0,1,0,0,0,0,41,346,5,8,8
ULYSSES KLAUE,0,7,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,40,756,2,18,20
GRANDMASTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,821,1,21,38
SHARON CARTER,0,0,0,0,0,26,0,12,0,0,0,0,0,0,0,0,0,0,38,542,2,14,19
DR. ABRAHAM ERSKINE,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,37,663,1,17,37
IVAN VANKO,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,37,269,1,7,37
PHINEAS MASON,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,274,1,7,35
SENATOR STERN,0,0,0,0,0,0,0,5,0,0,0,29,0,0,0,0,0,0,34,499,2,14,17
DAVE,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,185,1,5,34
HELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,673,1,21,32
HELMUT ZEMO,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,621,1,19,32
CHRISTINE EVERHART,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,32,318,2,9,16
KORG,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,31,618,2,19,15
HERMAN SCHULTZ,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,29,177,1,6,29
KURT,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,140,1,5,28
CASSIE LANG,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,117,2,4,13
SECRETARY ROSS,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,24,458,2,19,12
MALEKITH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,329,1,13,24
PIETRO MAXIMOFF,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,230,1,9,24
FLASH THOMPSON,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,220,1,9,24
GROOT,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,78,3,3,8
EBONY MAW,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,316,2,13,11
M'BAKU,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,23,281,2,12,11
RICHARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,215,1,9,23
AARON DAVIS,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,207,1,9,22
IAN BOOTHBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,130,1,5,22
JASPER SITWELL,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,303,1,14,21
ZURI,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,263,1,12,21
RAMONDA,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,166,1,7,21
ERIC SAVIN,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21,163,1,7,21
BAD NEBULA,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,113,1,5,21
W'KABI,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,256,1,12,20
WENDY LAWSON,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,196,1,9,20
GARY,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,156,1,7,20
MAJOR ALLEN,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,20,137,2,6,10
LAUFEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,266,1,14,19
MONICA RAMBEAU,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,264,1,13,19
N'JOBU,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,263,1,14,18
LAURA BARTON,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,193,2,10,9
TREVOR SLATTERY,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,273,1,16,17
TASERFACE,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,236,1,13,17
DR. HELEN CHO,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,233,1,13,17
MAN,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,1,17,99,4,5,4
THE MANDARIN,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,427,1,26,16
AYESHA,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,272,1,17,16
ANCIENT ONE,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,264,1,16,16
BARON WOLFGANG VON STRUCKER,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,254,2,15,8
SECURITY GUARD,0,0,0,0,2,0,0,0,0,0,0,2,0,0,12,0,0,0,16,215,3,13,5
JACKSON BRICE,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,130,1,8,16
T'CHAKA,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,15,291,2,19,7
SKURGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,250,1,16,15
KRAGLIN,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,205,1,13,15
EITRI,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,166,1,11,15
MR. HARRINGTON,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,159,1,10,15
MAGGIE LANG,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,139,1,9,15
HOGUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,15,101,3,6,5
SUPREME INTELLIGENCE,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,224,1,16,14
"MICHELLE ""MJ"" JONES",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,139,1,9,14
SHIELD AGENT,0,0,0,0,0,0,5,4,0,0,0,1,0,0,2,2,0,0,14,111,5,7,2
FURY'S CAR,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,90,1,6,14
SURTUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,146,1,11,13
STAN LEE,0,2,1,1,1,1,0,0,1,1,0,1,0,2,1,0,1,0,13,123,11,9,1
DIRECTOR,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,13,111,2,8,6
MORGAN STARK,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,53,1,4,13
SHIELD COMPUTER,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,38,1,2,13
RAZA,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,227,1,18,12
MINN-ERVA,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,74,1,6,12
DORIS TOOMES,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,63,1,5,12
ACTOR THOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,59,1,4,12
SENATOR BRANDT,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,171,1,15,11
COUNCILMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,135,1,12,11
WONG,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,103,2,9,5
PRESIDENT ELLIS,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,93,1,8,11
ACTOR LOKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,77,1,7,11
DALE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,1,14,10
JAPSER SITWELL,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,10,85,3,8,3
BRANDT,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,74,1,7,10
KORATH,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,73,1,7,10
CHARLES MURPHY,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,67,1,6,10
DUM DUM DUGAN,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,62,1,6,10
MR. DELMAR,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,59,1,5,10
TOPAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,53,1,5,10
ABRAHAM BROWN,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,37,1,3,10
STAKAR,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,172,1,19,9
COUNCILMAN ROCKWELL,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,117,1,13,9
MITCHELL CARSON,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,91,1,10,9
RONAN,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,88,1,9,9
VASILY KARPOV,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,61,1,6,9
QUINJET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,23,1,2,9
GENERAL GABRIEL,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,150,1,18,8
NEWS REPORTER,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,8,116,2,14,4
THE COLLECTOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,83,1,10,8
GABE JONES,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,72,1,9,8
OFFICER,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,8,65,3,8,2
POLICE OFFICER,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,62,1,7,8
VIPER 1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,62,1,7,8
MUSEUM DIRECTOR,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,59,1,7,8
DR. LIST,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,58,2,7,4
DOCTOR,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,56,1,7,8
A1 STEVE,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54,1,6,8
JIM MORITA,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,54,1,6,8
SKRULL SCIENTIST,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,54,1,6,8
BETTY BRANT,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,51,1,6,8
JAMES MONTGOMERY FALSWORTH,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,48,1,6,8
ADMISSIONS NURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,46,1,5,8
PROXIMA MIDNIGHT,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,1,5,8
GRIOT,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,1,5,8
WOMAN,0,0,0,0,0,0,1,0,0,0,1,2,4,0,0,0,0,0,8,35,4,4,2
BRON-CHAR,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,34,1,4,8
THE OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,192,1,27,7
YOUNG T'CHAKA,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,129,1,18,7
INTERCOM VOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,107,1,15,7
GENERAL,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,7,66,2,9,3
ALGRIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,64,1,9,7
TOWER KEEPER,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,46,1,6,7
MARSHAL,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,40,1,5,7
GUARD #2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,36,1,5,7
4F DOCTOR,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,31,1,4,7
USO SINGER,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,181,1,30,6
NEWS ANCHOR,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,116,1,19,6
VICE PRESIDENT,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,80,1,13,6
GEORGI LUCHKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,77,1,12,6
VIPER 2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,65,1,10,6
GERMAN INNKEEPER,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,60,1,10,6
GUARD,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,6,54,5,9,1
SHIELD LIEUTENANT,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,53,1,8,6
COUNCILWOMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,52,1,8,6
MRS. DAVIS,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,43,1,7,6
SHIELD TECH,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,38,2,6,3
CINDY MOON,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,28,1,4,6
COMPUTER,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,13,3,2,2
